Date,Open,High,Low,Close,Volume
2023-05-22 04:00:00,122.94,126.43,122.74,125.05,35253034.0
2023-05-23 04:00:00,124.16,124.625,122.2104,122.56,34046251.0
2023-05-24 04:00:00,121.12,121.91,119.86,120.9,34182635.0
2023-05-25 04:00:00,124.52,125.32,121.96,123.48,42316986.0
2023-05-26 04:00:00,123.17,125.26,122.45,124.61,35635937.0
2023-05-30 04:00:00,125.64,125.66,122.0,123.67,35076658.0
2023-05-31 04:00:00,122.75,124.0601,122.5,122.87,37276787.0
2023-06-01 04:00:00,122.815,124.42,122.62,123.72,30772683.0
2023-06-02 04:00:00,123.99,126.15,123.76,124.67,26980147.0
2023-06-05 04:00:00,124.01,127.43,123.84,126.01,32305531.0
2023-06-06 04:00:00,126.01,128.29,125.36,127.31,26638295.0
2023-06-07 04:00:00,126.97,129.04,122.12,122.5,52538986.0
2023-06-08 04:00:00,122.225,123.225,121.24,122.14,29389167.0
2023-06-09 04:00:00,122.25,123.755,121.91,122.23,23656819.0
2023-06-12 04:00:00,122.785,124.05,121.66,123.64,28338743.0
2023-06-13 04:00:00,124.98,125.16,123.18,123.83,22278313.0
2023-06-14 04:00:00,123.1,124.05,121.45,123.67,30592297.0
2023-06-15 04:00:00,123.14,125.46,122.4,125.09,35146268.0
2023-06-16 04:00:00,125.93,126.108,123.28,123.53,45535553.0
2023-06-20 04:00:00,122.93,124.57,122.14,123.1,26097492.0
2023-06-21 04:00:00,122.4,122.66,120.1,120.55,30306336.0
2023-06-22 04:00:00,120.0,123.24,118.83,123.15,26952246.0
2023-06-23 04:00:00,121.38,122.7879,121.06,122.34,34913637.0
2023-06-26 04:00:00,120.76,122.0,118.265,118.34,33969897.0
2023-06-27 04:00:00,117.08,119.08,116.1,118.33,39535936.0
2023-06-28 04:00:00,117.09,120.39,116.85,120.18,27074649.0
2023-06-29 04:00:00,119.24,120.06,118.295,119.1,24090902.0
2023-06-30 04:00:00,120.17,121.08,119.69,119.7,29532241.0
2023-07-03 04:00:00,119.24,120.19,118.8182,119.9,14467850.0
2023-07-05 04:00:00,119.24,122.61,119.23,121.75,27508009.0
2023-07-06 04:00:00,119.795,120.3,118.4,120.11,24772501.0
2023-07-07 04:00:00,120.1,121.05,119.4,119.48,21709549.0
2023-07-10 04:00:00,118.3,118.305,116.135,116.45,35315235.0
2023-07-11 04:00:00,116.29,117.71,115.35,117.14,23073882.0
2023-07-12 04:00:00,118.8,120.33,118.4145,118.93,30404409.0
2023-07-13 04:00:00,120.93,124.83,120.45,124.54,44297915.0
2023-07-14 04:00:00,124.8,126.775,123.49,125.42,33283076.0
2023-07-17 04:00:00,125.94,127.0999,124.195,124.65,25716215.0
2023-07-18 04:00:00,124.6,124.68,122.96,123.76,26226447.0
2023-07-19 04:00:00,124.6,125.18,121.8,122.03,37224033.0
2023-07-20 04:00:00,121.42,124.09,118.22,119.2,37882763.0
2023-07-21 04:00:00,120.62,120.99,118.73,120.02,71606474.0
2023-07-24 04:00:00,121.66,123.0,120.98,121.53,29692367.0
2023-07-25 04:00:00,121.36,123.145,121.02,122.21,52429551.0
